Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2008,,,,,,,,,,,,
二零零八年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"So Kwun Wat
掃管笏",0.0%,0.0%,0.0%,1.9%,1.9%,7.4%,5.6%,0.0%,3.6%,0.0%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,0.0%,0.0%,5.4%,1.8%,3.6%,9.3%,3.8%,3.5%,0.0%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,4.0%,4.2%,8.3%,8.0%,0.0%,0.0%,0.0%,0.0%,0.0%
"Sheung Kwai Chung
上葵涌",0.0%,0.0%,0.0%,2.0%,5.6%,7.7%,0.0%,1.9%,1.9%,3.8%,0.0%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,0.0%,3.8%,7.4%,3.7%,13.0%,5.8%,0.0%,0.0%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,0.0%,10.9%,1.8%,7.3%,5.5%,5.5%,0.0%,0.0%,0.0%
"Tsing Yi South (Formerly: Tsing Yi)
青衣南 (前稱: 青衣)",0.0%,0.0%,0.0%,3.5%,7.1%,12.5%,7.0%,14.0%,7.4%,7.0%,3.4%,0.0%
"Tsing Yi North
青衣北",,,,,,,,,,13.0%,5.5%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.0%,0.0%,0.2%,2.0%,7.7%,11.7%,6.0%,7.3%,5.1%,3.3%,0.9%,0.1%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2016,,,,,,,,,,,,
二零一六年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,0.0%,3.7%,5.3%,5.4%,5.4%,7.1%,0.0%,0.0%,0.0%
"Tin Hau
天后",0.0%,0.0%,0.0%,0.0%,13.7%,20.8%,26.9%,7.3%,7.5%,7.8%,1.9%,0.0%
"Shau Kei Wan & Sai Wan Ho
筲箕灣及西灣河",0.0%,0.0%,0.0%,0.0%,0.0%,25.9%,6.8%,3.5%,5.0%,1.8%,0.0%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,0.0%,3.6%,9.1%,18.2%,5.5%,1.9%,0.0%,0.0%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,0.0%,7.5%,5.7%,2.0%,0.0%,1.0%,1.9%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,1.8%,7.0%,19.6%,14.0%,8.8%,7.3%,7.0%,1.8%,1.8%
"Central, Sheung Wan and Sai Ying Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,0.0%,7.7%,9.4%,9.7%,9.2%,12.4%,0.0%,1.6%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,9.1%,13.0%,7.4%,5.7%,4.5%,1.9%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,3.8%,12.2%,17.0%,5.5%,3.7%,9.3%,2.0%,0.0%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,2.2%,14.0%,15.7%,15.1%,11.8%,23.1%,2.9%,0.0%,0.0%
"Deep Water Bay & Repulse Bay
深水灣及淺水灣",0.0%,0.0%,0.0%,5.5%,3.7%,21.8%,22.2%,3.8%,9.3%,0.0%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,0.0%,11.4%,8.8%,5.6%,2.8%,8.8%,8.6%,0.0%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,8.1%,18.4%,15.8%,10.5%,18.4%,5.3%,2.7%,0.0%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,0.0%,14.8%,7.0%,18.2%,1.7%,5.4%,7.3%,1.8%,0.0%
"Tsim Sha Tsui East
尖沙咀東",0.0%,0.0%,0.0%,0.0%,3.7%,11.3%,20.4%,3.7%,4.0%,7.5%,0.0%,0.0%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,0.0%,5.3%,7.0%,1.8%,1.8%,0.0%,3.5%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,0.0%,2.0%,8.0%,9.4%,5.6%,11.3%,2.0%,0.0%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,0.0%,2.0%,9.3%,15.1%,5.6%,5.8%,1.9%,0.0%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,0.0%,0.0%,1.9%,7.4%,9.3%,14.8%,14.8%,7.3%,1.8%,0.0%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,1.8%,5.5%,1.8%,9.1%,11.1%,9.2%,1.9%,0.0%,0.0%
"Hung Hom
紅磡",0.0%,0.0%,0.0%,0.0%,0.0%,4.2%,3.8%,3.8%,2.0%,2.0%,1.0%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,0.0%,1.9%,9.4%,14.8%,7.4%,5.7%,0.0%,0.0%,0.0%
"Lok Fu West
樂富西",0.0%,0.0%,0.0%,1.7%,8.3%,16.7%,18.0%,5.2%,1.7%,3.3%,0.8%,0.0%
"Kai Tak North
啟德北",0.0%,0.0%,0.0%,0.0%,2.7%,13.2%,23.7%,2.6%,23.7%,5.4%,2.7%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,0.0%,1.6%,11.1%,16.1%,9.5%,4.8%,4.9%,2.4%,0.0%,0.0%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,0.0%,8.0%,7.7%,2.0%,5.8%,1.9%,3.8%,0.0%,0.0%
"Ngau Chi Wan
牛池灣",0.0%,0.0%,0.0%,1.9%,16.7%,18.5%,20.0%,3.6%,1.8%,3.7%,0.0%,0.0%
"Kwun Tong Central
觀塘中",0.0%,0.0%,0.0%,9.8%,16.9%,22.6%,14.5%,22.4%,3.4%,11.1%,0.0%,0.0%
"Lam Tin
藍田",0.0%,0.0%,0.0%,3.7%,7.3%,12.7%,14.5%,9.1%,3.6%,5.5%,0.0%,0.0%
"Kowloon Bay
九龍灣",0.0%,0.0%,0.0%,1.9%,13.8%,19.6%,17.9%,16.4%,5.3%,7.1%,3.5%,0.0%
"Tseung Kwan O South (Formerly: Tseung Kwan O)
將軍澳南 (前稱: 將軍澳)",0.0%,0.0%,0.0%,3.5%,20.7%,15.5%,5.0%,15.3%,8.3%,5.3%,0.0%,0.0%
"Tseung Kwan O North
將軍澳北",0.0%,0.0%,0.0%,6.7%,31.7%,35.0%,5.2%,12.1%,3.6%,3.7%,1.8%,0.0%
"Sai Kung Town
西貢市",0.0%,0.0%,0.0%,0.0%,6.3%,8.2%,0.0%,8.3%,8.5%,0.0%,0.0%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,0.0%,8.5%,11.9%,11.7%,3.3%,5.0%,5.1%,1.7%,1.7%
"Yuen Chau Kok
圓洲角",0.0%,0.0%,0.0%,1.8%,13.8%,22.4%,26.3%,7.3%,5.6%,3.4%,0.0%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,0.0%,8.9%,5.6%,19.6%,7.4%,1.8%,3.7%,3.6%,0.0%
"Tai Po
大埔",0.0%,0.0%,0.0%,0.0%,9.8%,7.4%,18.5%,7.5%,12.7%,0.0%,0.0%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,0.0%,5.6%,17.0%,13.2%,5.8%,1.9%,1.9%,0.0%,0.0%
"Sheung Shui
上水",0.0%,0.0%,0.0%,0.0%,9.4%,7.3%,7.3%,5.7%,7.5%,1.9%,0.0%,0.0%
"Tin Shui Wai
天水圍",0.0%,0.0%,0.0%,0.0%,1.8%,10.9%,5.6%,10.7%,12.3%,0.0%,0.0%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,4.0%,28.0%,4.0%,12.0%,0.0%,4.0%,0.0%,0.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,0.0%,0.0%,7.5%,3.7%,1.8%,5.6%,5.6%,0.0%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,0.0%,7.4%,1.9%,14.8%,5.5%,1.8%,3.6%,0.0%,1.9%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,0.0%,13.8%,16.9%,27.4%,6.3%,8.1%,0.0%,1.6%,0.0%
"So Kwun Wat
掃管笏",0.0%,0.0%,0.0%,0.0%,13.0%,9.1%,7.3%,1.8%,1.9%,0.0%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,0.0%,0.0%,5.7%,26.8%,8.8%,3.6%,8.6%,1.8%,1.8%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,0.0%,0.0%,4.0%,4.2%,0.0%,4.3%,0.0%,0.0%,0.0%
"Sheung Kwai Chung
上葵涌",0.0%,0.0%,0.0%,0.0%,13.5%,15.4%,11.5%,5.8%,11.5%,0.0%,0.0%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,0.0%,7.3%,16.4%,11.1%,9.3%,5.7%,0.0%,0.0%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,0.0%,7.4%,9.1%,5.6%,9.1%,9.4%,0.0%,0.0%,0.0%
"Tsing Yi South (Formerly: Tsing Yi)
青衣南 (前稱: 青衣)",0.0%,0.0%,0.0%,7.0%,12.3%,17.9%,10.7%,11.5%,7.5%,5.7%,1.8%,0.0%
"Tsing Yi North
青衣北",0.0%,0.0%,0.0%,5.5%,12.7%,27.8%,7.4%,9.3%,9.1%,1.9%,0.0%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.0%,0.0%,0.0%,1.5%,9.3%,13.5%,11.8%,7.3%,6.3%,2.6%,0.7%,0.1%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2017,,,,,,,,,,,,
二零一七年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,0.0%,0.0%,17.9%,17.9%,3.7%,0.0%,1.8%,0.0%,0.0%
"Tin Hau
天后",0.0%,0.0%,0.0%,1.8%,28.6%,18.2%,26.5%,32.1%,7.7%,13.0%,5.7%,0.0%
"Shau Kei Wan & Sai Wan Ho
筲箕灣及西灣河",0.0%,0.0%,0.0%,0.0%,3.4%,7.0%,7.1%,3.7%,3.5%,1.8%,0.0%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,0.0%,3.5%,12.3%,8.6%,12.5%,3.6%,3.4%,1.8%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,5.4%,1.8%,3.6%,7.1%,1.8%,0.0%,1.8%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,1.8%,5.4%,16.7%,9.4%,8.9%,0.0%,1.8%,0.0%,0.0%
"Central, Sheung Wan and Sai Ying Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,1.6%,6.1%,1.6%,10.4%,6.3%,4.5%,7.6%,0.0%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,10.9%,11.1%,18.5%,5.6%,7.3%,0.0%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,0.0%,9.8%,0.0%,11.3%,1.9%,9.6%,5.6%,0.0%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,1.8%,21.4%,1.9%,7.4%,5.3%,7.0%,3.6%,0.0%,0.0%
"Deep Water Bay & Repulse Bay
深水灣及淺水灣",0.0%,0.0%,0.0%,5.5%,23.6%,11.5%,7.5%,3.8%,11.1%,0.0%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,0.0%,11.4%,5.6%,2.8%,2.8%,0.0%,2.8%,0.0%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,3.0%,22.9%,10.5%,7.9%,5.4%,2.9%,0.0%,0.0%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,6.9%,8.9%,10.3%,5.9%,14.8%,10.6%,10.7%,1.9%,0.0%
"Tsim Sha Tsui East
尖沙咀東",0.0%,0.0%,0.0%,1.8%,20.0%,13.2%,13.5%,10.1%,7.4%,7.4%,0.0%,0.0%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,8.9%,3.4%,8.9%,5.2%,4.3%,1.8%,0.0%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,0.0%,0.0%,7.3%,12.0%,9.1%,3.8%,1.9%,0.0%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,0.0%,0.0%,11.1%,9.1%,10.9%,5.7%,9.3%,0.0%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,0.0%,0.0%,1.8%,14.5%,8.9%,0.0%,0.0%,1.8%,1.8%,1.7%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,0.0%,13.0%,14.5%,16.4%,4.0%,3.7%,0.0%,1.9%,0.0%
"Hung Hom
紅磡",0.0%,0.0%,0.0%,0.0%,8.9%,1.8%,3.6%,3.6%,3.6%,1.9%,0.0%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,0.0%,2.0%,11.3%,9.4%,3.8%,1.0%,0.0%,0.0%,0.0%
"Lok Fu West
樂富西",0.0%,0.0%,0.0%,0.0%,16.7%,15.5%,26.7%,6.6%,15.3%,1.7%,3.4%,0.0%
"Kai Tak North
啟德北",0.0%,0.0%,0.0%,2.6%,15.8%,10.5%,16.2%,20.0%,16.2%,7.9%,0.0%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,0.0%,0.0%,12.7%,18.8%,12.5%,9.2%,3.1%,14.1%,1.6%,0.0%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,0.0%,7.4%,7.8%,7.7%,7.4%,1.9%,3.7%,0.0%,1.8%
"Ngau Chi Wan
牛池灣",0.0%,0.0%,0.0%,5.6%,25.5%,20.4%,13.2%,17.8%,5.7%,8.0%,5.8%,1.9%
"Kwun Tong Central
觀塘中",0.0%,0.0%,0.0%,13.3%,26.2%,18.0%,10.2%,3.4%,9.7%,0.0%,0.0%,0.0%
"Lam Tin
藍田",0.0%,0.0%,0.0%,1.9%,22.2%,14.5%,5.5%,5.5%,11.1%,1.9%,0.0%,0.0%
"Kowloon Bay
九龍灣",0.0%,0.0%,0.0%,8.6%,50.0%,32.8%,19.1%,9.9%,14.0%,0.0%,0.0%,0.0%
"Tseung Kwan O South
將軍澳南",1.6%,0.0%,0.0%,8.2%,27.4%,9.8%,9.5%,10.7%,4.8%,3.3%,0.0%,0.0%
"Tseung Kwan O North
將軍澳北",0.0%,0.0%,3.3%,1.6%,55.9%,21.7%,18.3%,17.2%,26.2%,1.7%,0.0%,0.0%
"Sai Kung Town
西貢市",0.0%,0.0%,0.0%,0.0%,24.0%,4.0%,10.0%,0.0%,6.0%,0.0%,0.0%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,0.0%,0.0%,9.4%,6.3%,3.2%,1.6%,8.1%,1.6%,0.0%
"Yuen Chau Kok
圓洲角",0.0%,0.0%,0.0%,0.0%,0.0%,8.8%,6.8%,3.4%,3.5%,0.0%,0.0%,1.7%
"Tai Wai
大圍",0.0%,0.0%,0.0%,0.0%,8.1%,18.0%,4.9%,8.2%,3.3%,1.6%,1.6%,1.6%
"Tai Po
大埔",0.0%,0.0%,0.0%,1.9%,13.0%,5.5%,18.5%,5.5%,5.6%,0.0%,1.9%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,1.9%,20.0%,3.6%,12.7%,3.6%,9.1%,0.0%,0.0%,0.0%
"Sheung Shui
上水",0.0%,0.0%,0.0%,0.0%,11.3%,1.8%,12.7%,0.0%,7.4%,7.3%,1.8%,0.0%
"Tin Shui Wai
天水圍",0.0%,0.0%,0.0%,0.0%,8.6%,4.8%,6.7%,8.1%,9.7%,3.2%,0.0%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,4.0%,8.0%,8.0%,24.0%,4.0%,4.0%,4.2%,8.3%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,0.0%,0.0%,3.6%,1.9%,7.4%,3.6%,1.9%,0.0%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,0.0%,3.6%,3.7%,3.8%,11.1%,5.5%,0.0%,0.0%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,0.0%,18.5%,6.2%,4.7%,9.4%,4.8%,4.6%,0.0%,0.0%
"So Kwun Wat
掃管笏",0.0%,0.0%,0.0%,0.0%,0.0%,3.6%,5.5%,3.7%,3.6%,1.9%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,0.0%,6.7%,1.7%,5.2%,6.8%,1.7%,1.7%,0.0%,0.0%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,0.0%,33.3%,12.0%,4.0%,4.0%,0.0%,0.0%,0.0%,0.0%
"Sheung Kwai Chung
上葵涌",0.0%,0.0%,0.0%,5.7%,13.2%,5.6%,10.2%,1.9%,3.7%,0.0%,0.0%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,0.0%,13.2%,16.0%,12.0%,0.0%,1.9%,0.0%,0.0%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,0.0%,14.5%,1.9%,9.1%,3.6%,11.1%,3.6%,0.0%,0.0%
"Tsing Yi South
青衣南",0.0%,0.0%,0.0%,1.8%,16.1%,10.3%,17.2%,1.8%,0.0%,0.0%,0.0%,0.0%
"Tsing Yi North
青衣北",0.0%,0.0%,1.8%,3.6%,30.9%,24.1%,12.7%,5.8%,20.0%,0.0%,0.0%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.1%,0.0%,0.1%,1.8%,14.2%,10.2%,10.6%,6.6%,6.2%,2.8%,0.7%,0.1%
